,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
203,1657879,0.0,False,De Baarsjes - Oud-West,52.34,4.855,Entire home/apt,3,2,2,9,119.0,6,30,True,0,0,4.92,False,39.66,714.0,0.07,0.13,0.19,4.99,0.0,595.0
204,1662676,0.0,False,Centrum-West,52.38,4.883,Entire home/apt,2,1,2,3,100.0,15,30,False,0,0,4.85,False,50.0,1500.0,0.07,0.12,0.14,4.99,0.0,500.0
205,1681041,0.0,False,Zuid,52.34,4.883,Entire home/apt,6,3,4,9,200.0,7,300,True,0,0,5.0,False,33.34,1400.0,0.11,0.15,0.22,4.99,0.038356164383561646,1056.7397260273972
206,1708637,0.81,False,De Pijp - Rivierenbuurt,52.34,4.9,Private room,2,1,1,4,84.0,3,31,True,3,3,4.6,False,42.0,252.0,0.06,0.11,0.15,4.99,0.6109589041095891,446.4931506849315
207,1713147,0.010000000000000009,False,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,6,3,4,10,299.0,4,1125,True,0,0,4.75,False,49.84,1196.0,0.08,0.22,0.26,4.99,0.021917808219178082,1495.0
208,1723463,0.0,False,Watergraafsmeer,52.34,4.938,Entire home/apt,4,2,4,15,200.0,5,21,True,0,0,4.91,False,50.0,1000.0,0.07,0.15,0.22,4.99,0.4246575342465753,1000.0
209,1727103,0.0,False,De Pijp - Rivierenbuurt,52.34,4.91,Entire home/apt,4,2,3,9,175.0,3,1125,True,0,0,4.91,False,43.75,525.0,0.09,0.2,0.22,4.99,0.0,1233.4246575342465
210,1731246,0.0,False,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,2,2,5,273.0,3,1125,True,2,0,4.95,False,68.25,819.0,0.09,0.23,0.28,4.99,0.07945205479452055,1121.849315068493
211,1733772,0.56,True,Oud-Noord,52.38,4.938,Entire home/apt,2,1,1,6,180.0,3,14,True,0,0,4.83,True,90.0,540.0,0.07,0.1,0.17,4.99,0.14520547945205478,900.0
212,1734564,0.51,False,Centrum-West,52.38,4.89,Entire home/apt,2,1,1,12,229.0,3,1125,True,0,3,4.82,False,114.5,687.0,0.07,0.12,0.21,4.99,0.00821917808219178,1145.0
